ID;SOA;Condition;Panel;Accuracy (%);Error Rate (%)
1;short;CC;T1-locked ACC;98.44;1.56
2;short;CC;T1-locked ACC;96.88;3.12
3;short;CC;T1-locked ACC;100;0
4;short;CC;T1-locked ACC;90.63;9.37
5;short;CC;T1-locked ACC;93.75;6.25
6;short;CC;T1-locked ACC;96.88;3.12
7;short;CC;T1-locked ACC;100;0
8;short;CC;T1-locked ACC;90.63;9.37
9;short;CC;T1-locked ACC;96.88;3.12
10;short;CC;T1-locked ACC;89.06;10.94
11;short;CC;T1-locked ACC;100;0
12;short;CC;T1-locked ACC;100;0
13;short;CC;T1-locked ACC;100;0
14;short;CC;T1-locked ACC;100;0
15;short;CC;T1-locked ACC;93.75;6.25
16;short;CC;T1-locked ACC;98.44;1.56
17;short;CC;T1-locked ACC;98.44;1.56
18;short;CC;T1-locked ACC;92.19;7.81
19;short;CC;T1-locked ACC;100;0
20;short;CC;T1-locked ACC;100;0
21;short;CC;T1-locked ACC;87.5;12.5
22;short;CC;T1-locked ACC;100;0
23;short;CC;T1-locked ACC;93.75;6.25
24;short;CC;T1-locked ACC;75;25
25;short;CC;T1-locked ACC;84.38;15.62
26;short;CC;T1-locked ACC;100;0
27;short;CC;T1-locked ACC;98.44;1.56
28;short;CC;T1-locked ACC;87.5;12.5
29;short;CC;T1-locked ACC;98.44;1.56
30;short;CC;T1-locked ACC;98.44;1.56
31;short;CC;T1-locked ACC;87.5;12.5
32;short;CC;T1-locked ACC;100;0
33;short;CC;T1-locked ACC;96.88;3.12
34;short;CC;T1-locked ACC;93.75;6.25
35;short;CC;T1-locked ACC;100;0
36;short;CC;T1-locked ACC;73.44;26.56
37;short;CC;T1-locked ACC;100;0
38;short;CC;T1-locked ACC;98.44;1.56
39;short;CC;T1-locked ACC;46.88;53.12
40;short;CC;T1-locked ACC;100;0
1;short;CI;T1-locked ACC;95.31;4.69
2;short;CI;T1-locked ACC;98.44;1.56
3;short;CI;T1-locked ACC;100;0
4;short;CI;T1-locked ACC;89.06;10.94
5;short;CI;T1-locked ACC;92.19;7.81
6;short;CI;T1-locked ACC;96.88;3.12
7;short;CI;T1-locked ACC;98.44;1.56
