ID;SOA;Condition;T1cond;T2cond;Panel;Accuracy (%);Error Rate (%)
1;short;CC;C;C;T1-locked ACC;93.75;6.25
2;short;CC;C;C;T1-locked ACC;100;0
3;short;CC;C;C;T1-locked ACC;96.88;3.12
4;short;CC;C;C;T1-locked ACC;96.09;3.91
5;short;CC;C;C;T1-locked ACC;96.88;3.12
6;short;CC;C;C;T1-locked ACC;92.97;7.03
7;short;CC;C;C;T1-locked ACC;95.31;4.69
8;short;CC;C;C;T1-locked ACC;94.53;5.47
9;short;CC;C;C;T1-locked ACC;90.63;9.37
10;short;CC;C;C;T1-locked ACC;66.41;33.59
11;short;CC;C;C;T1-locked ACC;94.53;5.47
12;short;CC;C;C;T1-locked ACC;94.53;5.47
13;short;CC;C;C;T1-locked ACC;77.34;22.66
14;short;CC;C;C;T1-locked ACC;90.63;9.37
15;short;CC;C;C;T1-locked ACC;88.28;11.72
16;short;CC;C;C;T1-locked ACC;96.88;3.12
17;short;CC;C;C;T1-locked ACC;93.75;6.25
18;short;CC;C;C;T1-locked ACC;78.91;21.09
19;short;CC;C;C;T1-locked ACC;66.41;33.59
20;short;CC;C;C;T1-locked ACC;99.22;0.780000000000001
21;short;CC;C;C;T1-locked ACC;95.31;4.69
22;short;CC;C;C;T1-locked ACC;99.22;0.780000000000001
23;short;CC;C;C;T1-locked ACC;96.88;3.12
24;short;CC;C;C;T1-locked ACC;96.09;3.91
25;short;CC;C;C;T1-locked ACC;89.06;10.94
26;short;CC;C;C;T1-locked ACC;94.53;5.47
27;short;CC;C;C;T1-locked ACC;100;0
28;short;CC;C;C;T1-locked ACC;89.84;10.16
29;short;CC;C;C;T1-locked ACC;85.94;14.06
30;short;CC;C;C;T1-locked ACC;57.81;42.19
31;short;CC;C;C;T1-locked ACC;90.63;9.37
32;short;CC;C;C;T1-locked ACC;97.66;2.34
33;short;CC;C;C;T1-locked ACC;87.5;12.5
34;short;CC;C;C;T1-locked ACC;93.75;6.25
35;short;CC;C;C;T1-locked ACC;91.41;8.59
36;short;CC;C;C;T1-locked ACC;94.53;5.47
37;short;CC;C;C;T1-locked ACC;98.44;1.56
38;short;CC;C;C;T1-locked ACC;89.24;10.76
39;short;CC;C;C;T1-locked ACC;90.84;9.16
40;short;CC;C;C;T1-locked ACC;89.28;10.72
1;short;CI;C;I;T1-locked ACC;94.53;5.47
2;short;CI;C;I;T1-locked ACC;100;0
3;short;CI;C;I;T1-locked ACC;99.22;0.780000000000001
4;short;CI;C;I;T1-locked ACC;100;0
5;short;CI;C;I;T1-locked ACC;96.09;3.91
6;short;CI;C;I;T1-locked ACC;91.41;8.59
7;short;CI;C;I;T1-locked ACC;96.09;3.91
8;short;CI;C;I;T1-locked ACC;89.84;10.16
9;short;CI;C;I;T1-locked ACC;89.06;10.94
10;short;CI;C;I;T1-locked ACC;71.88;28.12
11;short;CI;C;I;T1-locked ACC;92.19;7.81
12;short;CI;C;I;T1-locked ACC;96.88;3.12
13;short;CI;C;I;T1-locked ACC;66.41;33.59
14;short;CI;C;I;T1-locked ACC;95.31;4.69
15;short;CI;C;I;T1-locked ACC;92.19;7.81
16;short;CI;C;I;T1-locked ACC;98.44;1.56
17;short;CI;C;I;T1-locked ACC;100;0
18;short;CI;C;I;T1-locked ACC;81.25;18.75
19;short;CI;C;I;T1-locked ACC;67.19;32.81
20;short;CI;C;I;T1-locked ACC;98.44;1.56
21;short;CI;C;I;T1-locked ACC;94.53;5.47
22;short;CI;C;I;T1-locked ACC;99.22;0.780000000000001
23;short;CI;C;I;T1-locked ACC;96.88;3.12
24;short;CI;C;I;T1-locked ACC;92.19;7.81
25;short;CI;C;I;T1-locked ACC;85.16;14.84
26;short;CI;C;I;T1-locked ACC;94.53;5.47
27;short;CI;C;I;T1-locked ACC;100;0
28;short;CI;C;I;T1-locked ACC;84.38;15.62
29;short;CI;C;I;T1-locked ACC;85.16;14.84
30;short;CI;C;I;T1-locked ACC;60.94;39.06
31;short;CI;C;I;T1-locked ACC;95.31;4.69
32;short;CI;C;I;T1-locked ACC;96.09;3.91
33;short;CI;C;I;T1-locked ACC;82.81;17.19
34;short;CI;C;I;T1-locked ACC;96.09;3.91
35;short;CI;C;I;T1-locked ACC;88.28;11.72
36;short;CI;C;I;T1-locked ACC;93.75;6.25
37;short;CI;C;I;T1-locked ACC;96.88;3.12
38;short;CI;C;I;T1-locked ACC;89.36;10.64
39;short;CI;C;I;T1-locked ACC;90.74;9.26000000000001
40;short;CI;C;I;T1-locked ACC;89.39;10.61
1;short;IC;I;C;T1-locked ACC;85.16;14.84
2;short;IC;I;C;T1-locked ACC;98.44;1.56
3;short;IC;I;C;T1-locked ACC;93.75;6.25
4;short;IC;I;C;T1-locked ACC;99.22;0.780000000000001
5;short;IC;I;C;T1-locked ACC;96.88;3.12
6;short;IC;I;C;T1-locked ACC;85.16;14.84
7;short;IC;I;C;T1-locked ACC;75.78;24.22
8;short;IC;I;C;T1-locked ACC;90.63;9.37
9;short;IC;I;C;T1-locked ACC;78.91;21.09
10;short;IC;I;C;T1-locked ACC;68.75;31.25
11;short;IC;I;C;T1-locked ACC;77.34;22.66
12;short;IC;I;C;T1-locked ACC;96.88;3.12
13;short;IC;I;C;T1-locked ACC;60.16;39.84
14;short;IC;I;C;T1-locked ACC;89.84;10.16
15;short;IC;I;C;T1-locked ACC;85.16;14.84
16;short;IC;I;C;T1-locked ACC;98.44;1.56
17;short;IC;I;C;T1-locked ACC;54.69;45.31
18;short;IC;I;C;T1-locked ACC;77.34;22.66
19;short;IC;I;C;T1-locked ACC;56.25;43.75
20;short;IC;I;C;T1-locked ACC;96.88;3.12
21;short;IC;I;C;T1-locked ACC;90.63;9.37
22;short;IC;I;C;T1-locked ACC;80.47;19.53
23;short;IC;I;C;T1-locked ACC;83.59;16.41
24;short;IC;I;C;T1-locked ACC;83.59;16.41
25;short;IC;I;C;T1-locked ACC;80.47;19.53
26;short;IC;I;C;T1-locked ACC;88.28;11.72
27;short;IC;I;C;T1-locked ACC;97.66;2.34
28;short;IC;I;C;T1-locked ACC;71.88;28.12
29;short;IC;I;C;T1-locked ACC;71.88;28.12
30;short;IC;I;C;T1-locked ACC;54.69;45.31
31;short;IC;I;C;T1-locked ACC;82.81;17.19
32;short;IC;I;C;T1-locked ACC;90.63;9.37
33;short;IC;I;C;T1-locked ACC;44.53;55.47
34;short;IC;I;C;T1-locked ACC;67.19;32.81
35;short;IC;I;C;T1-locked ACC;81.25;18.75
36;short;IC;I;C;T1-locked ACC;89.84;10.16
37;short;IC;I;C;T1-locked ACC;92.19;7.81
38;short;IC;I;C;T1-locked ACC;79.16;20.84
39;short;IC;I;C;T1-locked ACC;81.48;18.52
40;short;IC;I;C;T1-locked ACC;79.22;20.78
1;short;II;I;I;T1-locked ACC;83.59;16.41
2;short;II;I;I;T1-locked ACC;98.44;1.56
3;short;II;I;I;T1-locked ACC;95.31;4.69
4;short;II;I;I;T1-locked ACC;96.09;3.91
5;short;II;I;I;T1-locked ACC;98.44;1.56
6;short;II;I;I;T1-locked ACC;85.16;14.84
7;short;II;I;I;T1-locked ACC;83.59;16.41
8;short;II;I;I;T1-locked ACC;91.41;8.59
9;short;II;I;I;T1-locked ACC;66.41;33.59
10;short;II;I;I;T1-locked ACC;73.44;26.56
11;short;II;I;I;T1-locked ACC;78.13;21.87
12;short;II;I;I;T1-locked ACC;94.53;5.47
13;short;II;I;I;T1-locked ACC;59.38;40.62
14;short;II;I;I;T1-locked ACC;90.63;9.37
15;short;II;I;I;T1-locked ACC;85.94;14.06
16;short;II;I;I;T1-locked ACC;96.09;3.91
17;short;II;I;I;T1-locked ACC;51.56;48.44
18;short;II;I;I;T1-locked ACC;80.47;19.53
19;short;II;I;I;T1-locked ACC;56.25;43.75
20;short;II;I;I;T1-locked ACC;96.88;3.12
21;short;II;I;I;T1-locked ACC;92.19;7.81
22;short;II;I;I;T1-locked ACC;80.47;19.53
23;short;II;I;I;T1-locked ACC;89.06;10.94
24;short;II;I;I;T1-locked ACC;87.5;12.5
25;short;II;I;I;T1-locked ACC;81.25;18.75
26;short;II;I;I;T1-locked ACC;89.84;10.16
27;short;II;I;I;T1-locked ACC;99.22;0.780000000000001
28;short;II;I;I;T1-locked ACC;64.84;35.16
29;short;II;I;I;T1-locked ACC;73.44;26.56
30;short;II;I;I;T1-locked ACC;58.59;41.41
31;short;II;I;I;T1-locked ACC;77.34;22.66
32;short;II;I;I;T1-locked ACC;89.84;10.16
33;short;II;I;I;T1-locked ACC;43.75;56.25
34;short;II;I;I;T1-locked ACC;69.53;30.47
35;short;II;I;I;T1-locked ACC;75.78;24.22
36;short;II;I;I;T1-locked ACC;91.41;8.59
37;short;II;I;I;T1-locked ACC;91.41;8.59
38;short;II;I;I;T1-locked ACC;79.43;20.57
39;short;II;I;I;T1-locked ACC;81.49;18.51
40;short;II;I;I;T1-locked ACC;79.48;20.52
1;long;CC;C;C;T1-locked ACC;96.88;3.12
2;long;CC;C;C;T1-locked ACC;100;0
3;long;CC;C;C;T1-locked ACC;98.44;1.56
4;long;CC;C;C;T1-locked ACC;98.44;1.56
5;long;CC;C;C;T1-locked ACC;100;0
6;long;CC;C;C;T1-locked ACC;96.09;3.91
7;long;CC;C;C;T1-locked ACC;96.09;3.91
8;long;CC;C;C;T1-locked ACC;95.31;4.69
9;long;CC;C;C;T1-locked ACC;89.84;10.16
10;long;CC;C;C;T1-locked ACC;71.09;28.91
11;long;CC;C;C;T1-locked ACC;98.44;1.56
12;long;CC;C;C;T1-locked ACC;99.22;0.780000000000001
13;long;CC;C;C;T1-locked ACC;75;25
14;long;CC;C;C;T1-locked ACC;96.88;3.12
15;long;CC;C;C;T1-locked ACC;94.53;5.47
16;long;CC;C;C;T1-locked ACC;100;0
17;long;CC;C;C;T1-locked ACC;98.44;1.56
18;long;CC;C;C;T1-locked ACC;89.06;10.94
19;long;CC;C;C;T1-locked ACC;69.53;30.47
20;long;CC;C;C;T1-locked ACC;98.44;1.56
21;long;CC;C;C;T1-locked ACC;99.22;0.780000000000001
22;long;CC;C;C;T1-locked ACC;98.44;1.56
