ID;SOA;Condition;T1cond;T2cond;Panel;Reaction Time (ms)
1;short;CC;C;C;T1-locked RT;1064.96
2;short;CC;C;C;T1-locked RT;947.42
3;short;CC;C;C;T1-locked RT;633.31
4;short;CC;C;C;T1-locked RT;854.67
5;short;CC;C;C;T1-locked RT;873.13
6;short;CC;C;C;T1-locked RT;905
7;short;CC;C;C;T1-locked RT;1045.34
8;short;CC;C;C;T1-locked RT;868.13
9;short;CC;C;C;T1-locked RT;890.68
10;short;CC;C;C;T1-locked RT;1052.17
11;short;CC;C;C;T1-locked RT;1044.3
12;short;CC;C;C;T1-locked RT;825.95
13;short;CC;C;C;T1-locked RT;1165.92
14;short;CC;C;C;T1-locked RT;813.54
15;short;CC;C;C;T1-locked RT;1003.2
16;short;CC;C;C;T1-locked RT;982.8
17;short;CC;C;C;T1-locked RT;1201.42
18;short;CC;C;C;T1-locked RT;1110.89
19;short;CC;C;C;T1-locked RT;908.03
20;short;CC;C;C;T1-locked RT;895.74
21;short;CC;C;C;T1-locked RT;829
22;short;CC;C;C;T1-locked RT;967.6
23;short;CC;C;C;T1-locked RT;692.94
24;short;CC;C;C;T1-locked RT;1053.56
25;short;CC;C;C;T1-locked RT;940.48
26;short;CC;C;C;T1-locked RT;748.09
27;short;CC;C;C;T1-locked RT;895.28
28;short;CC;C;C;T1-locked RT;689.86
29;short;CC;C;C;T1-locked RT;828.38
30;short;CC;C;C;T1-locked RT;891.55
31;short;CC;C;C;T1-locked RT;813.12
32;short;CC;C;C;T1-locked RT;699.63
33;short;CC;C;C;T1-locked RT;703.42
34;short;CC;C;C;T1-locked RT;654.84
35;short;CC;C;C;T1-locked RT;781.26
36;short;CC;C;C;T1-locked RT;886.84
37;short;CC;C;C;T1-locked RT;688.13
38;short;CC;C;C;T1-locked RT;893.8215
39;short;CC;C;C;T1-locked RT;888.010565789474
40;short;CC;C;C;T1-locked RT;893.683144423559
1;short;CI;C;I;T1-locked RT;1096.51
2;short;CI;C;I;T1-locked RT;1041.88
3;short;CI;C;I;T1-locked RT;647.14
4;short;CI;C;I;T1-locked RT;952.13
5;short;CI;C;I;T1-locked RT;927.07
6;short;CI;C;I;T1-locked RT;983.43
7;short;CI;C;I;T1-locked RT;1186.37
8;short;CI;C;I;T1-locked RT;870.82
9;short;CI;C;I;T1-locked RT;895.83
10;short;CI;C;I;T1-locked RT;1078.16
11;short;CI;C;I;T1-locked RT;1020.06
12;short;CI;C;I;T1-locked RT;896.14
13;short;CI;C;I;T1-locked RT;1046.51
14;short;CI;C;I;T1-locked RT;862.12
15;short;CI;C;I;T1-locked RT;995.35
16;short;CI;C;I;T1-locked RT;1061.04
17;short;CI;C;I;T1-locked RT;1423.49
18;short;CI;C;I;T1-locked RT;1013.62
19;short;CI;C;I;T1-locked RT;974.15
20;short;CI;C;I;T1-locked RT;995.67
21;short;CI;C;I;T1-locked RT;918.9
22;short;CI;C;I;T1-locked RT;1077.75
23;short;CI;C;I;T1-locked RT;683.75
24;short;CI;C;I;T1-locked RT;1027.84
25;short;CI;C;I;T1-locked RT;1062.49
26;short;CI;C;I;T1-locked RT;796.53
