ID;SOA;Condition;Panel;Reaction Time (ms)
1;short;CC;T1-locked RT;952.46
2;short;CC;T1-locked RT;992.92
3;short;CC;T1-locked RT;734.17
4;short;CC;T1-locked RT;969.6
5;short;CC;T1-locked RT;1153.58
6;short;CC;T1-locked RT;749.61
7;short;CC;T1-locked RT;667.44
8;short;CC;T1-locked RT;1047.43
9;short;CC;T1-locked RT;667.08
10;short;CC;T1-locked RT;962.61
11;short;CC;T1-locked RT;938.8
12;short;CC;T1-locked RT;718.31
13;short;CC;T1-locked RT;752.77
14;short;CC;T1-locked RT;1056
15;short;CC;T1-locked RT;702.61
16;short;CC;T1-locked RT;667.62
17;short;CC;T1-locked RT;636.38
18;short;CC;T1-locked RT;999.24
19;short;CC;T1-locked RT;628.52
20;short;CC;T1-locked RT;1135.06
21;short;CC;T1-locked RT;846
22;short;CC;T1-locked RT;879.726842105263
23;short;CC;T1-locked RT;857.506842105263
24;short;CC;T1-locked RT;944.46
25;short;CC;T1-locked RT;1293.96
26;short;CC;T1-locked RT;745.69
27;short;CC;T1-locked RT;723.03
28;short;CC;T1-locked RT;999.23
29;short;CC;T1-locked RT;793.6
30;short;CC;T1-locked RT;826.21
31;short;CC;T1-locked RT;963.37
32;short;CC;T1-locked RT;827.98
33;short;CC;T1-locked RT;886.87
34;short;CC;T1-locked RT;631.31
35;short;CC;T1-locked RT;875.17
36;short;CC;T1-locked RT;922.23
37;short;CC;T1-locked RT;535.92
38;short;CC;T1-locked RT;622.63
39;short;CC;T1-locked RT;1051.68
40;short;CC;T1-locked RT;1005.89
1;short;CI;T1-locked RT;925.11
2;short;CI;T1-locked RT;1109.02
3;short;CI;T1-locked RT;751.64
4;short;CI;T1-locked RT;901.14
5;short;CI;T1-locked RT;1245.78
6;short;CI;T1-locked RT;754.11
7;short;CI;T1-locked RT;727.6
8;short;CI;T1-locked RT;988.5
9;short;CI;T1-locked RT;657.29
10;short;CI;T1-locked RT;1078.81
11;short;CI;T1-locked RT;966.02
12;short;CI;T1-locked RT;719.67
13;short;CI;T1-locked RT;734.52
14;short;CI;T1-locked RT;1024.35
